0,Absolute Tick Racing Club
1,Worse Penguin Rap Club
2,Creative Coyote Watch Club
3,Haunting Hoverfly Wraith Club
4,Sandy Piranha Music Club
5,Darling Manta Ray Boat Club
6,Greedy Ray (Rajiformes) Watch Club
7,Vital Caribou Music Club
8,Worst Carp Gun Club
9,Orange Guan Racing Club
10,Frigid Red Panda Mud Club
11,Lean Horse Boxing Club
12,Awful Hawk Racing Club
13,Curly Wildebeest Music Club
14,Wordy Domestic Rabbit Gun Club
15,Giddy Grasshopper Music Club
16,Negative Goldfish Health Club
17,Hopeful Thrush Rap Club
18,Ornery Mountain Goat Watch Club
19,Muted Cape Buffalo Music Club
